Name	WT_1_log2.cpm.	WT_2_log2.cpm.	DKO_1_log2.cpm.	DKO_2_log2.cpm.
Dnajc9	134.8302126	128.9796813	129.5172097	129.5172097
Dvl1	8.162437274	8.562309587	8.242031629	8.913549207
E2f3	20.53481436	19.61655776	21.17074304	18.06343048
Eea1	14.54044986	14.24121173	13.8613897	14.24121173
Fbxo31	9.402210627	8.663800364	9.311412275	9.208715931
Ftsj1	16.2909632	18.98778876	17.31559431	17.13649317
Gpatch1	14.74342698	12.18470992	12.51858851	15.13692235
H2-D1	3671.108401	3475.488365	3227.049517	3771.702056
Heatr3	48.26816245	43.32116093	48.53656145	41.06962872
Kras	59.92142384	71.95385112	61.81992505	67.32171387
Map2k2	137.9498426	124.3273594	126.3253179	130.9615961
Map4k5	10.57070725	10.51954208	9.862818604	11.7778149
Mrpl20	55.25373175	53.55687953	57.72002422	48.84029469
Nomo1	93.50684023	95.93597451	96.87147475	89.13993476
Pus7l	11.32940351	12.48392768	12.58819913	10.62948651
Rrp7a	48.50293013	45.66446418	51.7684063	44.41576701
Sh3glb1	174.9743938	190.9432354	163.7101544	194.6852804
Srrt	98.4282132	90.19652833	101.4060558	83.40141756
Txnl4b	10.74802741	11.15021791	10.4468783	10.92074974
Ufsp2	33.89498671	35.60480386	34.96888765	33.19743797
Usb1	38.34588868	39.69815353	38.9621126	37.55674171
Wdr90	5.509800186	4.61394242	6.689971199	3.850377772
Zfp341	6.57960055	4.813212104	5.00024921	6.02098699
Zfp712	6.959578822	7.835362381	6.516060505	8.718016898
Zmynd8	73.72080911	68.26148997	78.08643266	66.67157946
Zswim4	18.59702572	18.15128776	17.82709841	18.12614216
Dr1	104.9093898	122.8709454	110.9680081	112.4390999
Dhrs4	22.76901538	20.77821764	24.03391883	20.53481436
Actr1a	164.8488486	156.8237225	166.5717575	149.0858991
Akap9	17.1483754	15.53015152	19.13311675	14.44001164
G3bp1	363.0438491	353.116396	381.8864708	348.2549382
Mbnl3	10.9510705	14.67206469	12.86161585	12.07540775
Ndufa3	96.40258986	91.45562494	91.9641713	99.25033041
Nop58	99.04415959	106.9653707	109.8963759	92.15560438
Sipa1l2	18.86970548	17.02992292	15.48715243	21.42168411
Snx1	104.4739899	104.9093898	103.0356656	102.8216316
Stim1	78.30323463	77.11822816	79.01200684	73.66972744
Clk1	48.06783766	88.15680297	56.68912122	73.51669472
Dph3	40.00199368	41.55643529	41.81648812	38.16028391
Cul7	5.578974665	5.344296314	5.58671413	5.6255728
Hhex	106.3001631	87.8518036	102.1821935	87.91271894
Mgea5	79.89315513	72.70587295	87.06373455	68.87936799
Smc6	103.0356656	93.24794329	88.76998202	103.7523353
2310033P09Rik	12.74624154	11.45574993	11.3137085	12.30352665
4732487G21Rik	5.544279543	5.509800186	5.449032139	5.888907449
5830415F09Rik	13.70851128	15.49789103	14.55053203	14.01597304
Acsf3	8.473746677	8.932103696	9.553305497	8.293608808
Arih1	134.8302126	148.2614792	134.2706339	143.8079876
Atp5g1	60.38004806	58.36372259	60.54768939	56.06389216
Atp5h	121.1793448	114.4838274	116.4849695	115.200247
Baz1a	123.2120887	142.5179671	139.0056776	131.8725061
Cdc37	228.6504582	208.8031983	220.5558169	208.9479798
Cited2	63.03145235	58.93284462	64.4005007	59.75551647
Cox6b1	216.9171033	212.4530139	217.5193598	204.5060906
Ctr9	59.83841266	54.68222342	55.3687482	57.04387174
D16Ertd472e	16.8071127	18.64865917	17.06537249	19.21285484
Ddx1	92.6038327	87.00340748	98.97553119	84.03975203
Ddx46	92.47554547	87.79093047	91.26564591	91.9641713
Ddx50	53.81737058	51.87616767	51.94813318	55.71523605
Dph1	15.18947394	14.54044986	14.72300241	14.34026719
Dpp3	131.2342064	125.6267602	142.9136591	119.0150327
Ell	21.15607368	20.80704234	21.48116004	21.34757071
Faim	24.48794832	22.5022912	23.6537989	24.3187977
Fam219b	24.45402433	22.83223209	23.24744079	25.03717702
Fam96b	19.31968946	23.93417213	20.14011478	22.14639546
Fam98c	10.57070725	9.659844732	9.415253898	10.3316588
Gcsh	19.94561911	18.98778876	20.86481176	17.20791025
Git1	33.66085693	30.40001225	32.20025035	30.63268666
Gpbp1	175.8254379	183.6735404	171.3734729	181.8997815
Iws1	55.63805185	59.67273513	58.12149873	59.21948339
Jmjd4	12.01695942	15.46569755	13.51978215	14.67206469
Klhl11	4.75353242	5.377739977	5.137263236	5.2634181
Mier2	12.95107546	11.95050766	13.03212101	12.4321163
Mynn	35.75318842	38.47901596	36.12686095	39.50600342
N4bp3	24.82978734	24.30194704	20.82146969	27.13343887
Nploc4	91.58249728	96.87147475	100.775421	91.01295428
Nrm	30.42109124	27.0208284	27.76123799	30.82438061
Ntmt1	12.95107546	13.11367372	13.44502004	12.04197398
Pigl	5.374013703	4.582071592	5.517443687	4.146804404
Ppp2r3c	29.52775976	27.55037403	27.30323514	30.93139511
Psat1	80.00398737	80.95229071	94.81214707	69.79249489
Psmd2	244.7220013	239.6856953	262.8325237	230.7201184
Ptk2b	305.2822713	300.245747	316.0480274	300.6622646
Rab11a	64.75860487	69.4546798	64.80350767	71.80438275
Rassf7	6.993428963	5.942211683	6.620774529	6.643760193
Rfng	14.87687908	13.27831337	12.82600527	14.67206469
Rpl36a	71.25898357	70.32666992	68.97492128	75.11348341
Rpl41	902.0102391	823.7141718	833.4778215	859.8850488
Rps6ka1	226.913715	217.9721492	228.6504582	208.3694554
Sart3	65.75369212	61.26537332	62.63946563	62.16367971
Sccpdh	5.509800186	6.1731207	6.000155957	5.987691947
Sh2b1	26.87140777	27.07707509	27.37904082	27.62686587
Spg7	50.00498433	45.2234766	45.31761402	48.13452004
Stard10	70.27794008	60.75789574	61.77708959	66.81036335
